reassignment_count,reopen_count,contact_type,location,category,subcategory,impact,urgency,notify,assignment_group,hour,day_of_week,is_business_hours,is_weekend,is_night,quarter,impact_urgency_score,escalation_risk
0,0,1,LOC_047,0,1,3,3,1,GROUP_17,6,0,0,0,1,2,6,0
2,1,2,LOC_047,2,2,2,3,1,GROUP_01,1,3,0,0,1,2,5,1
0,1,2,LOC_036,4,8,3,2,1,GROUP_11,4,2,0,0,1,1,5,0
0,0,1,LOC_024,1,3,3,3,1,GROUP_04,20,3,0,0,1,1,6,0
1,0,2,LOC_013,6,13,2,3,1,GROUP_22,19,5,0,1,1,1,5,0
1,0,4,LOC_050,3,15,2,1,1,GROUP_11,8,4,0,0,0,2,3,0
0,0,3,LOC_040,0,21,3,2,1,GROUP_24,21,5,0,1,1,4,5,0
0,0,2,LOC_033,4,8,3,2,2,GROUP_23,10,5,0,1,0,2,5,0
1,0,2,LOC_021,7,6,3,3,1,GROUP_05,11,4,1,0,0,2,6,0
0,0,3,LOC_046,1,26,2,2,1,GROUP_06,11,4,1,0,0,1,4,0
1,1,0,LOC_049,2,17,3,3,1,GROUP_15,15,5,0,1,0,2,6,0
1,0,1,Unknown,7,10,3,3,1,GROUP_22,8,1,0,0,0,3,6,0
1,0,1,Unknown,3,11,2,1,1,GROUP_23,16,4,1,0,0,4,3,0
3,0,0,LOC_033,5,28,1,1,1,GROUP_07,15,3,1,0,0,3,2,0
2,0,0,LOC_019,1,3,2,1,1,GROUP_20,7,1,0,0,1,4,3,0
0,0,0,LOC_041,0,30,3,1,3,GROUP_15,17,5,0,1,0,3,4,0
4,0,1,LOC_042,7,20,3,1,1,GROUP_04,9,1,1,0,0,3,4,0
1,0,2,Unknown,7,20,3,3,2,GROUP_07,18,4,0,0,1,4,6,0
0,0,2,LOC_045,1,3,3,2,1,GROUP_21,23,0,0,0,1,2,5,0
1,0,1,LOC_028,4,7,3,3,2,GROUP_14,2,1,0,0,1,1,6,0
0,0,1,LOC_024,3,15,3,3,1,GROUP_29,16,2,1,0,0,4,6,0
1,0,3,LOC_029,3,23,2,3,1,GROUP_05,8,1,0,0,0,4,5,0
0,0,2,LOC_005,3,11,1,3,1,GROUP_19,15,4,1,0,0,4,4,0
1,1,3,LOC_005,4,29,2,3,1,GROUP_28,20,1,0,0,1,3,5,0
0,0,2,LOC_032,4,8,2,2,1,GROUP_03,12,5,0,1,0,3,4,0
0,0,2,Unknown,7,20,3,2,2,GROUP_13,8,4,0,0,0,1,5,0
0,0,2,Unknown,0,30,3,3,1,GROUP_02,13,2,1,0,0,1,6,0
0,0,1,Unknown,3,23,3,3,3,GROUP_03,7,6,0,1,1,3,6,0
1,0,2,LOC_049,7,10,3,3,3,GROUP_10,20,1,0,0,1,3,6,0
0,0,1,LOC_041,3,25,3,3,2,GROUP_02,5,6,0,1,1,2,6,0
3,0,2,LOC_049,2,27,3,2,1,GROUP_17,9,2,1,0,0,4,5,0
1,0,2,LOC_005,1,24,2,2,2,GROUP_19,17,6,0,1,0,1,4,0
0,0,1,LOC_038,7,6,3,2,2,GROUP_11,10,1,1,0,0,1,5,0
0,0,0,Unknown,4,29,3,3,1,GROUP_14,22,3,0,0,1,2,6,0
2,1,2,LOC_045,2,2,2,1,1,GROUP_04,15,3,1,0,0,2,3,1
2,0,0,LOC_003,7,6,3,2,2,GROUP_09,2,5,0,1,1,4,5,0
3,0,2,Unknown,1,3,1,3,1,GROUP_29,23,3,0,0,1,2,4,0
1,0,1,LOC_002,0,1,3,2,2,GROUP_15,20,1,0,0,1,1,5,0
1,0,1,LOC_015,6,0,2,3,1,GROUP_10,7,5,0,1,1,1,5,0
0,0,1,Unknown,4,29,3,3,2,GROUP_26,10,1,1,0,0,4,6,0
1,0,3,LOC_038,4,8,3,1,1,GROUP_16,2,1,0,0,1,1,4,0
