number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,contact_type,location,category,subcategory,impact,urgency,priority,knowledge,u_priority_confirmation,notify,opened_at,caller_id,assignment_group,opened_by,priority_raw,is_high_priority,hour,day_of_week
INC0000001,Resolved,False,2,0,12,True,Email,LOC_045,Software,License,3,1,4,False,True,1,2023-01-12 04:54:12.525671497,USER_0270,GROUP_11,USER_0021,4,0,4,3
INC0000002,Closed,False,1,0,13,False,Phone,LOC_022,Other,Unknown,3,1,2,True,True,1,2023-05-17 23:07:27.879687868,USER_0163,GROUP_29,USER_0083,2,1,23,2
INC0000003,Closed,False,0,0,2,False,Email,LOC_012,Email,Spam,3,2,3,False,False,1,2024-11-12 09:29:50.549704974,USER_0158,,USER_0003,3,0,9,1
INC0000004,Closed,True,0,0,7,True,Phone,LOC_001,Database,Backup,3,3,5,False,True,1,2024-06-08 23:53:20.626782725,USER_0224,GROUP_18,USER_0039,5,0,23,5
INC0000005,Active,True,2,0,8,True,Phone,LOC_034,Network,DNS,3,3,5,False,False,3,2023-03-26 19:54:27.822579241,USER_0065,GROUP_11,USER_0077,5,0,19,6
INC0000006,Resolved,False,1,1,8,False,Email,LOC_034,Network,DNS,3,3,5,False,False,1,2024-03-22 21:39:27.934878060,USER_0343,GROUP_29,USER_0050,5,0,21,4
INC0000007,Closed,False,1,0,6,True,Email,LOC_028,Network,VPN,2,3,4,False,True,2,2024-05-11 09:20:29.812284778,USER_0034,GROUP_07,USER_0076,4,0,9,5
INC0000008,Closed,False,2,0,11,True,Email,LOC_037,Access,VPN access,3,3,4,True,False,1,2023-08-12 02:34:22.430909526,USER_0114,GROUP_05,USER_0069,4,0,2,5
INC0000009,Active,False,0,0,2,True,Email,LOC_017,Database,Connection,3,2,4,False,True,1,2023-07-11 00:27:47.133911406,USER_0156,GROUP_20,USER_0011,4,0,0,1
INC0000010,Closed,False,0,0,4,True,Phone,LOC_015,Email,Not receiving,3,3,4,True,True,2,2024-01-16 05:04:17.201542649,USER_0343,GROUP_29,USER_0083,4,0,5,1
INC0000011,Resolved,False,0,0,3,True,Chat,LOC_011,Network,VPN,3,3,5,False,False,1,2024-05-20 19:15:02.623222177,USER_0143,GROUP_22,USER_0015,5,0,19,0
INC0000012,Closed,False,1,1,8,True,Email,LOC_045,Other,Miscellaneous,2,2,3,True,False,1,2024-04-06 08:29:17.687494986,USER_0472,GROUP_23,USER_0058,3,0,8,5
INC0000013,Closed,False,0,0,2,True,Phone,,Email,Not sending,3,2,4,True,True,1,2023-04-05 18:17:56.268440018,USER_0070,,USER_0053,4,0,18,2
INC0000014,Closed,False,2,1,14,False,Email,LOC_045,Hardware,Monitor,2,3,5,False,False,1,2024-07-22 17:29:32.032962511,USER_0394,GROUP_01,USER_0001,5,0,17,0
INC0000015,Closed,False,5,0,15,True,Self service,LOC_034,Network,VPN,2,2,2,False,False,1,2024-06-26 08:50:58.639064680,USER_0273,GROUP_04,USER_0036,2,1,8,2
INC0000016,Closed,False,0,0,3,True,Phone,LOC_026,Network,Firewall,3,3,5,False,False,1,2024-02-07 10:39:14.226350903,USER_0343,GROUP_05,USER_0038,5,0,10,2
INC0000017,Closed,False,0,0,7,True,Phone,LOC_018,Software,Crash,1,3,3,False,False,3,2023-05-05 10:35:34.118462361,USER_0494,GROUP_10,USER_0099,3,0,10,4
INC0000018,Closed,False,1,0,6,True,Self service,LOC_001,Software,License,3,2,4,False,False,1,2024-08-01 06:14:54.188816155,USER_0036,GROUP_27,USER_0083,4,0,6,3
INC0000019,Closed,False,0,0,3,True,Email,,Software,Installation,3,2,4,False,False,1,2024-06-07 20:51:51.236462406,USER_0362,GROUP_02,USER_0023,4,0,20,4
INC0000020,Closed,False,2,0,11,True,Email,LOC_020,Hardware,Laptop,2,3,3,False,False,1,2023-02-18 04:28:23.493068200,USER_0147,GROUP_21,USER_0041,3,0,4,5
INC0000021,Closed,False,4,0,16,False,Chat,LOC_019,Database,Connection,2,2,2,False,True,1,2023-05-24 01:40:09.959210159,USER_0272,GROUP_03,USER_0023,2,1,1,2
INC0000022,Resolved,False,0,0,4,True,Phone,LOC_020,Network,Firewall,3,2,4,False,False,1,2023-06-16 20:54:33.489000912,USER_0286,GROUP_23,USER_0018,4,0,20,4
INC0000023,Closed,False,0,0,3,False,Email,LOC_037,Hardware,Monitor,2,3,3,False,False,2,2023-05-13 04:31:13.982734676,USER_0005,GROUP_27,USER_0039,3,0,4,5
INC0000024,Closed,False,1,1,5,True,Phone,,Software,Crash,3,3,4,False,False,1,2024-12-04 15:25:49.140391760,USER_0317,GROUP_02,USER_0067,4,0,15,2
INC0000025,Closed,False,0,0,4,True,Phone,,Software,Performance,1,3,4,False,False,1,2023-10-03 05:29:20.667233434,USER_0080,GROUP_25,USER_0032,4,0,5,1
INC0000026,Closed,True,0,0,6,True,Phone,LOC_027,Email,Spam,3,3,5,False,True,1,2024-03-06 06:48:46.035289387,USER_0121,GROUP_05,USER_0090,5,0,6,2
INC0000027,Closed,False,1,0,11,True,Email,LOC_035,Network,Connectivity,1,3,4,True,False,2,2023-02-21 01:51:04.031632387,USER_0081,GROUP_14,USER_0073,4,0,1,1
INC0000028,Closed,False,0,0,5,True,Phone,LOC_026,Software,License,3,2,5,False,False,1,2023-04-17 12:20:13.079474080,USER_0444,GROUP_11,USER_0081,5,0,12,0
INC0000029,Closed,False,0,0,5,True,Email,LOC_006,Database,Slow query,3,2,4,False,False,1,2023-04-27 19:54:30.569667338,USER_0292,GROUP_11,USER_0076,4,0,19,3
INC0000030,Resolved,False,1,0,7,True,Chat,LOC_024,Network,Connectivity,3,3,5,False,False,2,2023-04-10 18:57:34.500750050,USER_0180,GROUP_23,USER_0069,5,0,18,0
INC0000031,Closed,False,0,0,8,False,Self service,LOC_038,Database,Replication,3,3,5,False,False,2,2023-02-25 13:32:02.114688029,USER_0232,GROUP_21,USER_0059,5,0,13,5
INC0000032,Resolved,True,3,1,16,False,Phone,LOC_049,Network,Firewall,1,1,2,False,True,2,2024-09-02 04:14:27.097208883,USER_0224,GROUP_13,USER_0095,2,1,4,0
INC0000033,Closed,True,1,0,5,True,Phone,LOC_019,Network,Connectivity,2,3,4,False,False,1,2024-11-30 03:30:37.930804987,USER_0317,GROUP_22,USER_0087,4,0,3,5
INC0000034,Closed,False,1,0,5,True,Email,,Access,Account locked,3,2,4,False,False,2,2023-07-15 09:40:26.323593090,USER_0455,GROUP_14,USER_0014,4,0,9,5
INC0000035,Active,True,0,0,2,True,Email,LOC_048,Other,Unknown,3,3,5,False,False,1,2023-11-12 01:42:39.229718501,USER_0283,GROUP_02,USER_0023,5,0,1,6
INC0000036,Resolved,False,0,0,5,True,Chat,LOC_032,Email,Not receiving,3,3,5,False,False,1,2024-12-29 13:13:02.613203267,USER_0230,GROUP_20,USER_0065,5,0,13,6
INC0000037,Resolved,True,1,1,11,False,Chat,LOC_032,Software,License,3,2,3,False,False,1,2024-06-06 12:55:55.382778531,USER_0002,GROUP_02,USER_0052,3,0,12,3
INC0000038,Closed,False,1,0,9,False,Email,LOC_024,Network,VPN,3,1,2,False,True,1,2024-01-31 10:00:30.901082754,USER_0057,GROUP_15,USER_0029,2,1,10,2
INC0000039,Closed,False,1,0,9,True,Phone,LOC_033,Security,Phishing,3,3,5,False,True,1,2023-04-12 14:53:24.596912314,USER_0341,GROUP_13,USER_0034,5,0,14,2
INC0000040,Closed,False,0,0,3,True,Walk-in,LOC_020,Software,Performance,3,3,5,False,False,1,2024-02-10 00:54:58.098744303,USER_0242,GROUP_13,USER_0010,5,0,0,5
INC0000041,Closed,False,0,0,3,True,Self service,,Network,VPN,3,3,5,True,True,2,2024-07-09 14:30:39.334087030,USER_0146,GROUP_09,USER_0048,5,0,14,1
